"RSQ";"Ort";"Platz";"Geschlecht";"SKM"
7;"NewYork";"1  -  5";"W";"S_KM_15"
6;"NewYork";"1  -  5";"W";"S_KM_5"
6;"NewYork";"1";"W";"S_KM_15"
5;"NewYork";"1";"W";"S_KM_5"
5;"NewYork";"1  -  10";"W";"S_KM_5"
5;"NewYork";"1  -  5";"W";"S_KM_10"
5;"NewYork";"1  -  10";"W";"S_KM_15"
4;"NewYork";"1  -  10";"W";"S_KM_HM"
4;"NewYork";"1  -  10";"W";"S_KM_FN"
4;"NewYork";"1";"W";"S_KM_10"
4;"NewYork";"1  -  10";"W";"S_KM_10"
4;"NewYork";"1  -  10";"W";"S_KM_20"
4;"NewYork";"1  -  10";"W";"S_KM_40"
3;"NewYork";"1  -  10";"W";"S_KM_25"
3;"NewYork";"1  -  5";"W";"S_KM_40"
3;"NewYork";"1  -  5";"W";"S_KM_FN"
3;"NewYork";"1  -  10";"W";"S_KM_30"
2;"NewYork";"1  -  10";"W";"S_KM_35"
65;"NewYork";"1  -  3";"M";"S_KM_15"
64;"NewYork";"1";"M";"S_KM_15"
63;"NewYork";"1  -  5";"M";"S_KM_15"
55;"NewYork";"1  -  10";"M";"S_KM_15"
54;"NewYork";"1";"M";"S_KM_10"
52;"NewYork";"1  -  5";"M";"S_KM_10"
52;"NewYork";"1  -  3";"M";"S_KM_10"
51;"NewYork";"1  -  10";"M";"S_KM_10"
48;"NewYork";"1  -  3";"M";"S_KM_20"
47;"NewYork";"1  -  5";"M";"S_KM_20"
46;"NewYork";"1";"M";"S_KM_20"
45;"NewYork";"1  -  5";"M";"S_KM_25"
45;"NewYork";"1  -  3";"M";"S_KM_25"
44;"NewYork";"1  -  3";"M";"S_KM_HM"
44;"NewYork";"1";"M";"S_KM_5"
43;"NewYork";"1  -  5";"M";"S_KM_HM"
41;"NewYork";"1";"M";"S_KM_25"
41;"NewYork";"1  -  10";"M";"S_KM_20"
41;"NewYork";"1";"M";"S_KM_HM"
40;"NewYork";"1  -  10";"M";"S_KM_5"
39;"NewYork";"1  -  5";"M";"S_KM_30"
38;"NewYork";"1  -  10";"M";"S_KM_25"
38;"NewYork";"1  -  5";"M";"S_KM_5"
38;"NewYork";"1  -  3";"M";"S_KM_30"
36;"NewYork";"1  -  3";"M";"S_KM_5"
36;"NewYork";"1  -  10";"M";"S_KM_HM"
34;"NewYork";"1  -  5";"M";"S_KM_35"
32;"NewYork";"1";"M";"S_KM_30"
32;"NewYork";"1";"M";"S_KM_40"
31;"NewYork";"1  -  10";"M";"S_KM_30"
31;"NewYork";"1  -  3";"M";"S_KM_35"
30;"NewYork";"1  -  3";"M";"S_KM_40"
30;"NewYork";"1";"M";"S_KM_FN"
28;"NewYork";"1  -  5";"M";"S_KM_40"
28;"NewYork";"1";"M";"S_KM_35"
27;"NewYork";"1  -  3";"M";"S_KM_FN"
24;"NewYork";"1  -  10";"M";"S_KM_35"
23;"NewYork";"1  -  5";"M";"S_KM_FN"
20;"NewYork";"1  -  10";"M";"S_KM_40"
15;"NewYork";"1  -  10";"M";"S_KM_FN"
46;"London";"1";"W";"S_KM_35"
40;"London";"1";"W";"S_KM_40"
40;"London";"1  -  3";"W";"S_KM_35"
39;"London";"1";"W";"S_KM_30"
38;"London";"1  -  3";"W";"S_KM_30"
38;"London";"1";"W";"S_KM_FN"
36;"London";"1  -  5";"W";"S_KM_30"
33;"London";"1  -  5";"W";"S_KM_25"
32;"London";"1  -  5";"W";"S_KM_35"
28;"London";"1  -  5";"W";"S_KM_5"
28;"London";"1  -  3";"W";"S_KM_25"
27;"London";"1";"W";"S_KM_25"
26;"London";"1  -  5";"W";"S_KM_HM"
24;"London";"1  -  5";"W";"S_KM_15"
23;"London";"1  -  5";"W";"S_KM_20"
23;"London";"1  -  3";"W";"S_KM_40"
18;"London";"1  -  3";"W";"S_KM_5"
17;"London";"1  -  3";"W";"S_KM_FN"
17;"London";"1  -  3";"W";"S_KM_HM"
17;"London";"1";"W";"S_KM_HM"
15;"London";"1  -  3";"W";"S_KM_15"
15;"London";"1";"W";"S_KM_20"
14;"London";"1  -  3";"W";"S_KM_20"
14;"London";"1  -  5";"W";"S_KM_10"
12;"London";"1  -  5";"W";"S_KM_40"
12;"London";"1";"W";"S_KM_15"
12;"London";"1";"W";"S_KM_5"
8;"London";"1  -  10";"W";"S_KM_25"
7;"London";"1  -  10";"W";"S_KM_5"
7;"London";"1  -  5";"W";"S_KM_FN"
6;"London";"1  -  10";"W";"S_KM_30"
6;"London";"1  -  3";"W";"S_KM_10"
6;"London";"1  -  10";"W";"S_KM_15"
6;"London";"1  -  10";"W";"S_KM_HM"
5;"London";"1  -  10";"W";"S_KM_35"
5;"London";"1  -  10";"W";"S_KM_20"
2;"London";"1";"W";"S_KM_10"
2;"London";"1  -  10";"W";"S_KM_FN"
2;"London";"1  -  10";"W";"S_KM_40"
2;"London";"1  -  10";"W";"S_KM_10"
63;"London";"1  -  5";"M";"S_KM_5"
62;"London";"1";"M";"S_KM_5"
61;"London";"1  -  3";"M";"S_KM_5"
60;"London";"1  -  5";"M";"S_KM_10"
60;"London";"1";"M";"S_KM_10"
59;"London";"1  -  3";"M";"S_KM_10"
57;"London";"1  -  5";"M";"S_KM_15"
56;"London";"1";"M";"S_KM_15"
56;"London";"1  -  3";"M";"S_KM_15"
52;"London";"1  -  5";"M";"S_KM_20"
51;"London";"1";"M";"S_KM_20"
50;"London";"1  -  3";"M";"S_KM_20"
48;"London";"1  -  5";"M";"S_KM_HM"
46;"London";"1  -  3";"M";"S_KM_HM"
46;"London";"1";"M";"S_KM_HM"
30;"London";"1  -  5";"M";"S_KM_25"
30;"London";"1  -  3";"M";"S_KM_25"
30;"London";"1  -  3";"M";"S_KM_30"
28;"London";"1";"M";"S_KM_25"
27;"London";"1";"M";"S_KM_30"
22;"London";"1  -  5";"M";"S_KM_30"
18;"London";"1  -  10";"M";"S_KM_5"
16;"London";"1  -  10";"M";"S_KM_10"
14;"London";"1  -  3";"M";"S_KM_35"
14;"London";"1";"M";"S_KM_35"
13;"London";"1";"M";"S_KM_FN"
13;"London";"1  -  10";"M";"S_KM_15"
12;"London";"1";"M";"S_KM_40"
8;"London";"1  -  10";"M";"S_KM_20"
7;"London";"1  -  3";"M";"S_KM_40"
7;"London";"1  -  10";"M";"S_KM_HM"
5;"London";"1  -  3";"M";"S_KM_FN"
4;"London";"1  -  5";"M";"S_KM_35"
2;"London";"1  -  10";"M";"S_KM_25"
1;"London";"1  -  5";"M";"S_KM_FN"
1;"London";"1  -  5";"M";"S_KM_40"
1;"London";"1  -  10";"M";"S_KM_30"
1;"London";"1  -  10";"M";"S_KM_FN"
0;"London";"1  -  10";"M";"S_KM_40"
0;"London";"1  -  10";"M";"S_KM_35"
64;"Chicago";"1  -  3";"W";"S_KM_40"
60;"Chicago";"1  -  3";"W";"S_KM_FN"
59;"Chicago";"1  -  3";"W";"S_KM_35"
59;"Chicago";"1";"W";"S_KM_40"
59;"Chicago";"1";"W";"S_KM_FN"
55;"Chicago";"1  -  5";"W";"S_KM_40"
53;"Chicago";"1  -  5";"W";"S_KM_35"
52;"Chicago";"1  -  3";"W";"S_KM_30"
52;"Chicago";"1";"W";"S_KM_35"
50;"Chicago";"1  -  5";"W";"S_KM_FN"
49;"Chicago";"1  -  3";"W";"S_KM_25"
48;"Chicago";"1  -  3";"W";"S_KM_HM"
48;"Chicago";"1  -  3";"W";"S_KM_20"
47;"Chicago";"1  -  5";"W";"S_KM_30"
47;"Chicago";"1  -  3";"W";"S_KM_15"
44;"Chicago";"1  -  5";"W";"S_KM_25"
43;"Chicago";"1  -  5";"W";"S_KM_15"
43;"Chicago";"1  -  5";"W";"S_KM_20"
43;"Chicago";"1  -  5";"W";"S_KM_HM"
43;"Chicago";"1";"W";"S_KM_30"
42;"Chicago";"1";"W";"S_KM_15"
42;"Chicago";"1";"W";"S_KM_20"
41;"Chicago";"1";"W";"S_KM_HM"
41;"Chicago";"1  -  3";"W";"S_KM_10"
41;"Chicago";"1";"W";"S_KM_25"
39;"Chicago";"1  -  5";"W";"S_KM_10"
37;"Chicago";"1";"W";"S_KM_10"
35;"Chicago";"1  -  3";"W";"S_KM_5"
35;"Chicago";"1  -  5";"W";"S_KM_5"
32;"Chicago";"1";"W";"S_KM_5"
31;"Chicago";"1  -  10";"W";"S_KM_40"
30;"Chicago";"1  -  10";"W";"S_KM_35"
26;"Chicago";"1  -  10";"W";"S_KM_30"
26;"Chicago";"1  -  10";"W";"S_KM_FN"
25;"Chicago";"1  -  10";"W";"S_KM_15"
24;"Chicago";"1  -  10";"W";"S_KM_20"
24;"Chicago";"1  -  10";"W";"S_KM_HM"
23;"Chicago";"1  -  10";"W";"S_KM_10"
23;"Chicago";"1  -  10";"W";"S_KM_25"
23;"Chicago";"1  -  10";"W";"S_KM_5"
30;"Chicago";"1  -  5";"M";"S_KM_FN"
30;"Chicago";"1  -  10";"M";"S_KM_FN"
27;"Chicago";"1  -  3";"M";"S_KM_FN"
26;"Chicago";"1  -  10";"M";"S_KM_40"
23;"Chicago";"1";"M";"S_KM_5"
23;"Chicago";"1";"M";"S_KM_FN"
22;"Chicago";"1  -  3";"M";"S_KM_5"
22;"Chicago";"1  -  5";"M";"S_KM_5"
21;"Chicago";"1  -  5";"M";"S_KM_40"
20;"Chicago";"1  -  10";"M";"S_KM_35"
19;"Chicago";"1  -  3";"M";"S_KM_15"
19;"Chicago";"1";"M";"S_KM_15"
19;"Chicago";"1  -  5";"M";"S_KM_15"
18;"Chicago";"1  -  3";"M";"S_KM_10"
18;"Chicago";"1";"M";"S_KM_10"
17;"Chicago";"1  -  3";"M";"S_KM_40"
17;"Chicago";"1  -  5";"M";"S_KM_10"
17;"Chicago";"1  -  3";"M";"S_KM_20"
17;"Chicago";"1  -  3";"M";"S_KM_25"
17;"Chicago";"1  -  3";"M";"S_KM_HM"
16;"Chicago";"1  -  5";"M";"S_KM_20"
16;"Chicago";"1  -  10";"M";"S_KM_15"
16;"Chicago";"1";"M";"S_KM_20"
15;"Chicago";"1";"M";"S_KM_HM"
15;"Chicago";"1";"M";"S_KM_25"
15;"Chicago";"1  -  5";"M";"S_KM_HM"
15;"Chicago";"1  -  10";"M";"S_KM_5"
15;"Chicago";"1  -  10";"M";"S_KM_20"
14;"Chicago";"1  -  10";"M";"S_KM_25"
14;"Chicago";"1  -  5";"M";"S_KM_25"
14;"Chicago";"1  -  10";"M";"S_KM_30"
14;"Chicago";"1";"M";"S_KM_40"
14;"Chicago";"1  -  10";"M";"S_KM_HM"
13;"Chicago";"1  -  10";"M";"S_KM_10"
12;"Chicago";"1  -  3";"M";"S_KM_30"
12;"Chicago";"1  -  5";"M";"S_KM_35"
12;"Chicago";"1  -  3";"M";"S_KM_35"
11;"Chicago";"1";"M";"S_KM_30"
10;"Chicago";"1  -  5";"M";"S_KM_30"
9;"Chicago";"1";"M";"S_KM_35"
39;"Berlin";"1";"W";"S_KM_35"
22;"Berlin";"1  -  5";"W";"S_KM_5"
17;"Berlin";"1  -  3";"W";"S_KM_5"
14;"Berlin";"1  -  3";"W";"S_KM_35"
14;"Berlin";"1";"W";"S_KM_5"
12;"Berlin";"1";"W";"S_KM_FN"
12;"Berlin";"1  -  10";"W";"S_KM_5"
11;"Berlin";"1";"W";"S_KM_40"
11;"Berlin";"1";"W";"S_KM_25"
11;"Berlin";"1  -  3";"W";"S_KM_25"
11;"Berlin";"1";"W";"S_KM_30"
11;"Berlin";"1  -  5";"W";"S_KM_10"
10;"Berlin";"1  -  3";"W";"S_KM_20"
10;"Berlin";"1";"W";"S_KM_20"
10;"Berlin";"1  -  3";"W";"S_KM_HM"
10;"Berlin";"1";"W";"S_KM_HM"
9;"Berlin";"1  -  3";"W";"S_KM_30"
8;"Berlin";"1  -  3";"W";"S_KM_15"
